Title,Artist,Album,Year
Dum Dum Boys,Iggy Pop,The Idiot,1977
Swan Lake,Public Image Ltd.,Second Edition,1980
Add It Up,Violent Femmes,Violent Femmes,1983
Map Ref 41 Degrees N 93 Degrees W,Wire,154,1979
A New Kind of Water,This Heat,"Fame" Jon Savage's Secret History of Post-Punk,1981
A Picture Of Dorian Gray,Television Personalities,And Don't The Kids Just Love It,1981
Death Valley '69 (W/ Lydia Lunch),Sonic Youth,Bad Moon Rising,1985
Contort Yourself,james chance: The Contortions,Buy Contortions,1979
I Am the Fly - 2006 Remastered Version,Wire,Chairs Missing,1978
Heart and Soul - 2007 Remaster,Joy Division,Closer,1980
N.I.T.A.,Young Marble Giants,Colossal Youth,1980
Moody (Spaced Out),ESG,Come Away With Esg,1983
The Boy With The Perpetual Nervousness,The Feelies,Crazy Rhythms,1980
Villiers Terrace,Echo & the Bunnymen,Crocodiles,1980
Typical Girls,The Slits,Cut,1979
The Fatal Impact (Remastered),Dead Can Dance,Dead Can Dance (Remastered),1984
Disintegration,The Cure,Disintegration (Deluxe Edition),1989
History Lesson Part 2,Minutemen,Double Nickels On The Dime,1984
Making Plans For Nigel,XTC,Drums And Wires,1979
Non-Alignment Pact,Pere Ubu,Elitism for the People 1975-1978 (Sampler),1978
I Travel - Remastered 2002,Simple Minds,Empires And Dance,1980
At Home He's a Tourist,Gang Of Four,Entertainment!,1979
Performance,Tones On Tail,Everything!,1984
Shadow of a Doubt,Sonic Youth,Evol,1986
Other Voices - Remastered Version,The Cure,Faith,1981
Hard to Be Human Again,Mekons,Fear and Whiskey,1985
Memories Can't Wait,Talking Heads,Fear Of Music (Deluxe Version),1979
This Corrosion,Sisters of Mercy,Floodland (Deluxe Version),1987
From Her to Eternity,Nick Cave & The Bad Seeds,From Her To Eternity,1984
Collapsing New People,Fad Gadget,Gag,1984
Wax and Wane,Cocteau Twins,Garlands,1983
Judas,The Wake,Harmony + Singles,1982
The Classical,The Fall,Hex Enduction Hour,1982
High Pressure Days,The Units,High Pressure Days,1980
In the Flat Field,Bauhaus,In The Flat Field,1980
The Helicopter Spies,Swell Maps,Jane from Occupied Europe,1980
Arabian Knights,Siouxsie and the Banshees,Juju,1981
Hamlet (Pow Pow Pow),The Birthday Party,Junkyard,1982
Happy House,Siouxsie and the Banshees,Kaleidoscope,1980
Treason,The Teardrop Explodes,Kilimanjaro,1980
Wardance,Killing Joke,Killing Joke,1980
Antmusic,Adam & The Ants,Kings Of The Wild Frontier,1980
Do You Love Me? - 2011 Remastered,Nick Cave & The Bad Seeds,Let Love In,1994
Birthday,The Sugarcubes,Life's Too Good,1988
Do you mind my dream,Kleenex,Liliput,1982
Sunrise - 2015 Remaster,New Order,Low-life,1985
Lady O K'pele - Remastered,Lizzy Mercier Descloux,Mambo Nassau Remastered,1981
See No Evil,Television,Marquee Moon,1977
The Passion Of Lovers,Bauhaus,Mask,1981
Artists Only,Talking Heads,More Songs About Buildings And Food,1978
9-9,R.E.M.,Murmur,1983
Love Like Blood,Killing Joke,Night Time,1985
Dju Ya Feza,Zazou/Bikaye/Cy1,Noir Et Blanc,1983
The Killing Moon,Echo & the Bunnymen,Ocean Rain,1984
Romeo's Distress,Christian Death,Only Theatre of Pain,1982
Optimo,Liquid Liquid,Optimo,1983
Over the Edge,Wipers,Over the Edge,1983
One Hundred Years,The Cure,Pornography (Deluxe Edition),1982
Age Of Consent,New Order,Power & Corruption & Lies,1983
The Living End,The Jesus and Mary Chain,Psychocandy (Expanded Version),1985
Gut Feeling / (Slap Your Mammy),DEVO,Q: Are We Not Men? A: We Are Devo!,1978
Quiet Life,Japan,Quiet Life,1979
Shot by Both Sides,Magazine,Real Life and Thereafter/Forum,1978
Harborcoat,R.E.M.,Reckoning,1984
Split Second Feeling,Cabaret Voltaire,Red Mecca,1981
Born Under Punches (The Heat Goes On),Talking Heads,Remain In Light,1980
Rip It Up,Orange Juice,Rip It Up,1982
Lucinda,A Certain Ratio,Sextet,1982
Don't Change,INXS,Shabooh Shoobah,1982
That's When I Reach For My Revolver,Mission Of Burma,Signals and Calls and Marches,1981
Ceremony,New Order,Singles,1987
Catholic Block,Sonic Youth,Sister,1987
Bad Penny,Big Black,Songs About F*,1987
That's Entertainment,The Jam,Sound Affects,1980
Reptile,The Church,Starfish,1988
Swamp Thing,The Chameleons,Strange Times,1986
Ghost Rider,Suicide,Suicide (1998 Remastered Version),1977
Dumb Waiters,The Psychedelic Furs,Talk Talk Talk,1981
The Mercy Seat,Nick Cave & The Bad Seeds,Tender Prey,1988
52 Girls,The B-52's,The B-52's,1979
Mind/Body/Light/Sound,Swans,The Great Annihilator,1995
Fairytale in the Supermarket,The Raincoats,The Raincoats,1979
The Unforgettable Fire,U2,The Unforgettable Fire,1984
Hot On Heels of Love,Throbbing Gristle,20 Jazz Funk Greats,1979
December,The Waterboys,The Waterboys,1983
Spoilt Victorian Child,The Fall,This Nations Saving Grace,1985
Cities In Dust,Siouxsie and the Banshees,Tinderbox,1986
Lorelei,Cocteau Twins,Treasure,1984
I Wanna Destroy You,The Soft Boys,Underwater Moonlight,1980
Disorder,Joy Division,Unknown Pleasures,1979
Mica,Mission Of Burma,vs.,1982
New Year's Day,U2,War (Remastered),1983
Thief Of Fire,The Pop Group,Y,1980
Falling and Laughing,Orange Juice,You Can't Hide Your Love Forever,1982
Youth of America,Wipers,Youth of America,1981
